ID		           nm		   lat		        lon		countryCode
819827	        Razvilka	55.591667       37.740833	    RU
524901	        Moscow	    55.752220       37.615555	    RU
2973393	        Tarascon	43.805828       4.660280	    FR
2986678	        Ploufragan	48.491409       -2.794580	    FR
2986678	        Ploiesti	48.491409       -2.794580	    RO
2562305         Valletta    35.8997         14.5147         MT
2562746         Mdina       35.8869         14.4025         MT
683506		    Bucharest	44.4323		    26.1063		    RO
683123		    Buzau		45.15		    28.8333		RO
3117735		    Madrid		40.4165		    -3.7026		ES
3128026		    Bilbao		43.2627		    -2.9253		ES
2950159		    Berlin		52.5244		    13.4105		DE
2935517		    Dortmund	51.5167		    7.45		DE
3169070		    Rome		41.8947		    12.4839		IT
6542283		    Milano		45.4642		    9.192		IT
1816670		    Beijing		39.9075		    116.3972	CN
1796236		    Shanghai	31.2222		    121.4581	CN
6325494		    Quebec		46.8123		    -71.2145	CA
6167865		    Toronto		43.7001		    -79.4163	CA
2766824		    Salzburg	47.7994		    13.044		AT
2772400		    Linz		48.3064		    14.2861		AT
3646738		    Caracas		10.488		    -66.8792	VE
3633009		    Maracaibo	10.6317		    -71.6406	VE
3054643		    Budapest	47.498		    19.0399		HU
721239		    Eger		47.9026		    20.3733		HU
2314302		    Kinshasa	-4.3246		    15.3215		CD
217831		    Bukavu		-2.5083		    28.8608		CD
1857910		    Kyoto		35.0211		    135.7538	JP
1859171		    Kobe		34.6913		    135.183		JP
3143244		    Oslo		59.9127		10.7461		NO
3161733		    Bergen		60.392		5.328		NO
2800866		    Brussels	50.8504		4.3488		BE
2800482		    Charleroi	50.413		4.4465		BE
